ID,Company Name,Industry,Location,VR Potential Score (%),Status
11,AirAsia,airlines/aviation,"KLIA, Malaysia",63,New
12,SIA Engineering Company,airlines/aviation,"Singapore, Singapore",72,New
13,ST Engineering,information technology & services,"Singapore, Singapore",63,New
14,Quest Global,information technology & services,"Singapore, Singapore",99,New
15,Malaysia Aviation Group,airlines/aviation,"Sepang, Malaysia",87,New
16,Singapore Airlines,airlines/aviation,"Singapore, Singapore",74,New
17,Turkish Aerospace Malaysia,aviation & aerospace,"Cyberjaya, Malaysia",65,New
18,Civil Aviation Authority of Singapore,airlines/aviation,"Singapore, Singapore",82,New
19,PETRONAS,oil & energy,"Kuala Lumpur, Malaysia",76,New
20,MMC Oil and Gas Engineering,oil & energy,"Kuala Lumpur, Malaysia",66,New
21,Khatib & Alami,design,"Singapore, Singapore",65,New
22,Meta Oil & Gas,oil & energy,"Kuala Lumpur, Malaysia",76,New
23,China Aviation Oil (Singapore) Corporation Limited,oil & energy,"Singapore, Singapore",78,New
24,Puma Energy,oil & energy,"Singapore, Singapore",77,New
25,Weststar Aviation Group,airlines/aviation,"Kuala Lumpur, Malaysia",73,New
26,SME Aerospace Sdn Bhd,aviation & aerospace,"Subang, Malaysia",60,New
27,Systematic Aviation Services Group,aviation & aerospace,"Pelabuhan Klang, Malaysia",81,New
28,Rotary Engineering,information technology & services,"Singapore, Singapore",82,New
29,Getz Healthcare,medical devices,"Singapore, Singapore",97,New
30,Malaysia Marine & Heavy Engineering,oil & energy,"Kuala Lumpur, Malaysia",73,New
31,Trafigura,oil & energy,"Singapore, Singapore",87,New
32,Laminaar Aviation Infotech,airlines/aviation,"Singapore, Singapore",74,New
33,BOC Aviation,airlines/aviation,"Singapore, Singapore",61,New
34,Shopee,information technology & services,"Singapore, Singapore",62,New
35,International SOS,hospital & health care,"Singapore, Singapore",95,New
36,Malaysia Airports,airlines/aviation,"Sepang, Malaysia",92,New
37,Sapura Energy Berhad,oil & energy,"Kuala Lumpur, Malaysia",86,New
38,MHS Aviation Berhad,airlines/aviation,"Petaling Jaya, Malaysia",60,New
39,Galaxy Aerospace (M) Sdn. Bhd.,airlines/aviation,"Shah Alam, Malaysia",93,New
40,Dviation Group,airlines/aviation,"Shah Alam, Malaysia",71,New
41,Sunway Construction Group Berhad,construction,"Subang Jaya, Malaysia",81,New
42,Malaysia Airlines,airlines/aviation,"Sepang, Malaysia",63,New
43,PETRONAS Lubricants International,oil & energy,"Kuala Lumpur, Malaysia",90,New
44,G7 Aerospace Sdn Bhd,airlines/aviation,"Cyberjaya, Malaysia",68,New
45,SATS Ltd.,airlines/aviation,"Singapore, Singapore",72,New
46,Top Glove,medical devices,"Shah Alam, Malaysia",94,New
47,Airbus Asia Training Centre (AATC),airlines/aviation,"Singapore, Singapore",61,New
48,MODEC Offshore Production Systems (Singapore) / Offshore Frontier Solutions,oil & energy,"Singapore, Singapore",61,New
49,Lazada,information technology & services,"Singapore, Singapore",60,New
50,Synergy Engineering,oil & energy,"Kuala Lumpur, Malaysia",77,New
51,ST Logistics,logistics & supply chain,"Singapore, Singapore",68,New
52,Manpower Singapore,staffing & recruiting,"Singapore, Singapore",92,New
53,Oil and Gas Industry,oil & energy,"Singapore, Singapore",60,New
54,Destini Oil Services Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",71,New
55,Bumi Armada,oil & energy,"Kuala Lumpur, Malaysia",67,New
56,Malindo Air,airlines/aviation,"Petaling Jaya, Malaysia",60,New
57,JGC Construction International,construction,"Singapore, Singapore",69,New
58,Bruhat Logistics | Project Freight Forwarding,logistics & supply chain,"Singapore, Singapore",74,New
59,Zuellig Pharma,hospital & health care,"Singapore, Singapore",80,New
60,EP ENGINEERING SDN. BHD.,oil & energy,"Federal Territory, Malaysia",64,New
61,Avensys Consulting,information technology & services,"Singapore, Singapore",96,New
62,MISC Group,logistics & supply chain,"Kuala Lumpur, Malaysia",71,New
63,Wilmar International,food production,"Singapore, Singapore",73,New
64,HRD Corp - Human Resource Development Corporation,government administration,"Kuala Lumpur, Malaysia",96,New
65,Toyo Engineering & Construction Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",89,New
66,Wasco,oil & energy,"Kuala Lumpur, Malaysia",90,New
67,IBS Software,information technology & services,"Singapore, Singapore",95,New
68,SEPANG AIRCRAFT ENGINEERING,airlines/aviation,"Sepang, Malaysia",99,New
69,T7 Global Berhad,oil & energy,"Kuala Lumpur, Malaysia",70,New
70,Destini Group,aviation & aerospace,"Shah Alam, Malaysia",93,New
71,FGV Holdings Berhad,food production,"Kuala Lumpur, Malaysia",87,New
72,Petra Energy Berhad,oil & energy,"Petaling Jaya, Malaysia",91,New
73,Roundtable on Sustainable Palm Oil (RSPO),nonprofit organization management,"Kuala Lumpur, Malaysia",87,New
74,Seatrium,shipbuilding,"Singapore, Singapore",85,New
75,Emeritus,higher education,"Singapore, Singapore",74,New
76,Olam Agri,food production,"Singapore, Singapore",63,New
77,SJ Group,professional training & coaching,"Singapore, Singapore",95,New
78,Asia AeroTechnic (AAT),airlines/aviation,"Shah Alam, Malaysia",69,New
79,RGE,paper & forest products,"Singapore, Singapore",68,New
80,Frencken,mechanical or industrial engineering,"Singapore, Singapore",78,New
81,IJM Corporation Berhad,construction,"Petaling Jaya, Malaysia",66,New
82,Makino Asia Group,machinery,"Singapore, Singapore",87,New
83,SAM Group,aviation & aerospace,"Singapore, Singapore",92,New
84,IHH Healthcare,hospital & health care,"Kuala Lumpur, Malaysia",78,New
85,Positivity ®,online media,"Singapore, Singapore",60,New
86,Golden Agri-Resources (GAR),food production,"Singapore, Singapore",61,New
87,National University of Singapore,higher education,"Singapore, Singapore",96,New
88,Dyson,electrical/electronic manufacturing,"Singapore, Singapore",62,New
89,Bosch ASEAN,information technology & services,"Singapore, Singapore",76,New
90,Sime Darby,investment management,"Petaling Jaya, Malaysia",92,New
91,YTL Construction,construction,"Kuala Lumpur, Malaysia",78,New
92,SD Guthrie Berhad,farming,"Petaling Jaya, Malaysia",94,New
93,MAB Engineering,airlines/aviation,"Sepang, Malaysia",99,New
94,SHEIN,apparel & fashion,"Singapore, Singapore",98,New
95,Ocean Network Express,logistics & supply chain,"Singapore, Singapore",77,New
96,Grab,information technology & services,"Singapore, Singapore",79,New
97,Jetstar Asia Airways,airlines/aviation,"Singapore, Singapore",75,New
98,foodpanda,internet,"Singapore, Singapore",64,New
99,DBS Bank,banking,"Singapore, Singapore",77,New
100,Layang Layang Aerospace,aviation & aerospace,"Miri, Malaysia",93,New
101,Straive,management consulting,"Singapore, Singapore",88,New
102,EMAS GROUP,oil & energy,"Singapore, Singapore",64,New
103,PERSOL APAC,human resources,"Singapore, Singapore",95,New
104,Synergy Marine Group,maritime,"Singapore, Singapore",97,New
105,AIROD Aerospace Technology,aviation & aerospace,"Shah Alam, Malaysia",80,New
106,Changi Airport Group,aviation & aerospace,"Singapore, Singapore",84,New
107,Velesto Energy Berhad,oil & energy,"Kuala Lumpur, Malaysia",97,New
108,Muhibbah Engineering (M) BHD.,construction,"Klang, Malaysia",87,New
109,Universiti Kuala Lumpur,education management,"Kuala Lumpur, Malaysia",95,New
110,KPJ Healthcare Bhd,hospital & health care,"Kuala Lumpur, Malaysia",80,New
111,Agoda,information technology & services,"Singapore, Singapore",83,New
112,Civil Aviation Authority of Malaysia,aviation & aerospace,Malaysia,88,New
113,PetroChina International (Singapore),oil & energy,"Singapore, Singapore",66,New
114,Leopad Group,oil & energy,"Kuala Lumpur, Malaysia",67,New
115,Hartalega,medical devices,"Sepang, Malaysia",97,New
116,BW Group,maritime,"Singapore, Singapore",63,New
117,Nanyang Technological University Singapore,higher education,"Singapore, Singapore",72,New
118,"A*STAR - Agency for Science, Technology and Research",research,"Singapore, Singapore",65,New
119,IMC Ship Services,maritime,"Singapore, Singapore",66,New
120,"Atlantic, Gulf & Pacific Company (AG&P)",oil & energy,"Singapore, Singapore",78,New
121,DRB-HICOM Berhad,automotive,"Shah Alam, Malaysia",67,New
122,Sembcorp Marine Ltd,shipbuilding,"Singapore, Singapore",83,New
123,Boeing Composites Malaysia,aviation & aerospace,"Bukit Kayu Hitam, Malaysia",62,New
124,Keppel Offshore & Marine,maritime,"Singapore, Singapore",91,New
125,PACC Offshore Services Holdings Ltd,maritime,"Singapore, Singapore",64,New
126,Zenix Aerospace Upeca,aviation & aerospace,"Shah Alam, Malaysia",99,New
127,Olam,food & beverages,"Singapore, Singapore",74,New
128,Petron Malaysia Refining & Marketing Bhd,oil & energy,"Kuala Lumpur, Malaysia",85,New
129,Nanyang Polytechnic,higher education,"Singapore, Singapore",60,New
130,EnergyEdge - PetroEdge & PowerEdge,professional training & coaching,"Singapore, Singapore",73,New
131,GAMUDA,construction,"Petaling Jaya, Malaysia",77,New
132,Crypto.com,financial services,"Singapore, Singapore",83,New
133,Antares Marine,maritime,"Singapore, Singapore",63,New
134,Misi Setia Oil & Gas (MSOG) Sdn Bhd,oil & energy,"Semenyih, Malaysia",96,New
135,Miclyn Express Offshore,maritime,"Singapore, Singapore",94,New
136,Ultra Deep Solutions,oil & energy,"Singapore, Singapore",93,New
137,Kulicke & Soffa,semiconductors,"Singapore, Singapore",65,New
138,BASF PETRONAS Chemicals Sdn. Bhd.,chemicals,Malaysia,95,New
139,Aesen,maritime,"Singapore, Singapore",64,New
140,CTRM Aero Composites,airlines/aviation,"Batu Berendam, Malaysia",70,New
141,ASMPT Ltd,semiconductors,"Singapore, Singapore",68,New
142,NCS Group,information technology & services,"Singapore, Singapore",88,New
143,Tenaga Nasional Berhad,utilities,"Kuala Lumpur, Malaysia",82,New
144,Dialog Group Berhad,oil & energy,"Petaling Jaya, Malaysia",97,New
145,Mindsprint,information technology & services,"Singapore, Singapore",82,New
146,Aerospec Supplies Pte Ltd,aviation & aerospace,"Singapore, Singapore",83,New
147,Asia Digital Engineering (ADE),airlines/aviation,"Sepang, Malaysia",70,New
148,Mun Siong Engineering Limited,oil & energy,"Singapore, Singapore",71,New
149,Traveloka,information technology & services,"Singapore, Singapore",68,New
150,Pos Aviation (a subsidiary of Pos Malaysia),airlines/aviation,"Sepang, Malaysia",60,New
151,Woh Hup Group,construction,"Singapore, Singapore",83,New
152,Lidl & Kaufland Asia,retail,"Singapore, Singapore",87,New
153,LUXASIA,luxury goods & jewelry,"Singapore, Singapore",95,New
154,KPMG Singapore,management consulting,"Singapore, Singapore",85,New
155,JTC Corporation,government administration,"Singapore, Singapore",85,New
156,Digital,marketing & advertising,"Singapore, Singapore",83,New
157,Sembcorp Industries Ltd,utilities,"Singapore, Singapore",61,New
158,Jurong Engineering Limited,construction,"Singapore, Singapore",74,New
159,Rensol Recruitment,staffing & recruiting,"Singapore, Singapore",99,New
160,Temasek Polytechnic,higher education,"Singapore, Singapore",72,New
161,Sapura Acergy Sdn.Bhd,oil & energy,"Seri Kembangan, Malaysia",62,New
162,Building and Construction Authority Singapore,government administration,"Singapore, Singapore",77,New
163,MGH Group,logistics & supply chain,"Singapore, Singapore",98,New
164,Randstad Singapore,staffing & recruiting,"Singapore, Singapore",80,New
165,Universiti Teknologi MARA,higher education,"Shah Alam, Malaysia",74,New
166,Singapore Aero Engine Services Private Limited (SAESL),aviation & aerospace,"Singapore, Singapore",74,New
167,ENNOVI,electrical/electronic manufacturing,"Singapore, Singapore",79,New
168,Thome Group,maritime,"Singapore, Singapore",67,New
169,ZALORA Group,information technology & services,"Singapore, Singapore",65,New
170,Pos Aviation Sdn Bhd,airlines/aviation,"Sepang, Malaysia",88,New
171,Sunway Healthcare Group,hospital & health care,"Subang Jaya, Malaysia",84,New
172,Optimum Solutions Pte Ltd,information technology & services,"Singapore, Singapore",85,New
173,Charterhouse Partnership | Asia,staffing & recruiting,"Singapore, Singapore",98,New
174,UEM Edgenta Berhad,civil engineering,"Kuala Lumpur, Malaysia",72,New
175,KodeKloud,e-learning,"Singapore, Singapore",60,New
176,Pacific International Lines (PTE) Ltd,logistics & supply chain,"Singapore, Singapore",81,New
177,Malaysia Airlines Academy,airlines/aviation,"Petaling Jaya, Malaysia",73,New
178,Hibiscus Petroleum Berhad,oil & energy,"Kuala Lumpur, Malaysia",84,New
179,RiDiK (a Subsidiary of CLPS. Nasdaq: CLPS),information technology & services,"Singapore, Singapore",61,New
180,Noble Group,logistics & supply chain,"Singapore, Singapore",68,New
181,JAPFA,food production,"Singapore, Singapore",97,New
182,Sarawak Oil Palms,machinery,"Miri, Malaysia",68,New
183,Kerry Consulting,staffing & recruiting,"Singapore, Singapore",91,New
184,Kimly Construction Pte Ltd,construction,"Singapore, Singapore",71,New
185,Sapura Drilling,oil & energy,"Kuala Lumpur, Malaysia",83,New
186,Helius Technologies,information technology & services,"Singapore, Singapore",94,New
187,Meinhardt Group,civil engineering,"Singapore, Singapore",79,New
188,element14 Electronics,electrical/electronic manufacturing,"Singapore, Singapore",72,New
189,EPOMS Sdn. Bhd.,oil & energy,"Petaling Jaya, Malaysia",61,New
190,SingHealth,hospital & health care,"Singapore, Singapore",74,New
191,UEM Group Berhad,civil engineering,"Kuala Lumpur, Malaysia",66,New
192,MARA Corporation Sdn Bhd,investment management,"Kuala Lumpur, Malaysia",99,New
193,Universiti Teknologi PETRONAS,higher education,"Bota, Malaysia",71,New
194,Star Alliance,airlines/aviation,"Singapore, Singapore",97,New
195,Admal Aviation College,airlines/aviation,"Sepang, Malaysia",88,New
196,Altus Oil & Gas Services,oil & energy,"Singapore, Singapore",73,New
197,MMC Corporation Berhad,investment management,"Kuala Lumpur, Malaysia",79,New
198,XP Power,electrical/electronic manufacturing,"Singapore, Singapore",75,New
199,CTRM Composites Engineering,aviation & aerospace,"Batu Berendam, Malaysia",83,New
200,Vallianz Offshore Marine,maritime,"Singapore, Singapore",77,New
201,Sabre Asia Pacific,airlines/aviation,"Singapore, Singapore",91,New
202,AEROTREE DEFENCE & SERVICES SDN BHD,airlines/aviation,"Kuala Lumpur, Malaysia",75,New
203,Jet Aviation (Asia Pacific) Pte Ltd,aviation & aerospace,"Singapore, Singapore",85,New
204,Kuala Lumpur Kepong Berhad,farming,"Ipoh, Malaysia",70,New
205,Yinson,investment management,"Kuala Lumpur, Malaysia",79,New
206,SkillsFuture SG,government administration,"Singapore, Singapore",86,New
207,Intellect,mental health care,"Singapore, Singapore",78,New
208,APRIL,paper & forest products,"Singapore, Singapore",68,New
209,DSTA,defense & space,"Singapore, Singapore",62,New
210,Talentvis,staffing & recruiting,"Singapore, Singapore",77,New
211,Jawatan Kosong,government administration,"Kuala Lumpur, Malaysia",92,New
212,Venture Corporation Limited,electrical/electronic manufacturing,"Singapore, Singapore",68,New
213,JonDavidson Pte Ltd,staffing & recruiting,"Singapore, Singapore",77,New
214,Space Executive,staffing & recruiting,"Singapore, Singapore",72,New
215,PRefChem,oil & energy,"Pengerang, Malaysia",85,New
216,Altus Oil & Gas Malaysia Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",76,New
217,TUAH,oil & energy,"Kuala Lumpur, Malaysia",78,New
218,Singapore Aero Support Services Pte Ltd,aviation & aerospace,"Singapore, Singapore",63,New
219,Doo Group,financial services,"Singapore, Singapore",73,New
220,OMRON Asia Pacific,machinery,"Singapore, Singapore",81,New
221,Cartrack,information technology & services,"Singapore, Singapore",68,New
222,United Tec Construction Pte Ltd,construction,"Singapore, Singapore",94,New
223,Napier Healthcare,information technology & services,"Singapore, Singapore",84,New
224,Sime Darby Industrial Sdn Bhd,machinery,"Puchong, Malaysia",99,New
225,Airfoil Services Sdn Bhd,aviation & aerospace,"Petaling Jaya, Malaysia",83,New
226,Moglix,mechanical or industrial engineering,"Singapore, Singapore",99,New
227,Swire Shipping,logistics & supply chain,"Singapore, Singapore",76,New
228,Nimbus Marine Group,maritime,"Singapore, Singapore",65,New
229,Q Collection,apparel & fashion,"Singapore, Singapore",65,New
230,Process Engineering Specialists,information technology & services,"Singapore, Singapore",60,New
231,Sime Darby Plantation,farming,"Petaling Jaya, Malaysia",90,New
232,TDCX,outsourcing/offshoring,"Singapore, Singapore",73,New
233,Cloud4C Services,information technology & services,"Singapore, Singapore",93,New
234,IHH HEALTHCARE MALAYSIA,hospital & health care,"Kuala Lumpur, Malaysia",83,New
235,Acteus Group,logistics & supply chain,"Singapore, Singapore",88,New
236,"Murphy Oil, Malaysia",oil & energy,"Kuala Lumpur, Malaysia",65,New
237,Pharmaniaga Berhad,pharmaceuticals,"Shah Alam, Malaysia",70,New
238,Great Eastern,insurance,"Singapore, Singapore",79,New
239,Singapore Polytechnic,higher education,"Singapore, Singapore",71,New
240,Cladtek,oil & energy,"Singapore, Singapore",97,New
241,Dynaciate Engineering Sdn Bhd,construction,"Pasir Gudang, Malaysia",76,New
242,PT Batik Air Indonesia,airlines/aviation,"Petaling Jaya, Malaysia",73,New
243,20Cube Logistics,logistics & supply chain,"Singapore, Singapore",78,New
244,Antler,venture capital & private equity,"Singapore, Singapore",88,New
245,ofi,food & beverages,"Singapore, Singapore",87,New
246,Touch 'n Go Group,financial services,"Kuala Lumpur, Malaysia",95,New
247,Singapore General Hospital,hospital & health care,"Singapore, Singapore",73,New
248,Bosch Malaysia,machinery,"Petaling Jaya, Malaysia",79,New
249,Glints,human resources,"Singapore, Singapore",86,New
250,Mason & Co,staffing & recruiting,Malaysia,60,New
251,The Weststar Group,automotive,"Kuala Lumpur, Malaysia",78,New
252,Marutee,information technology & services,"Singapore, Singapore",99,New
253,Monroe Consulting Group,staffing & recruiting,"Singapore, Singapore",89,New
254,Powen Engineering Pte Ltd,construction,"Singapore, Singapore",87,New
255,Sysmex Asia Pacific,medical devices,"Singapore, Singapore",62,New
256,Sea,information technology & services,"Singapore, Singapore",94,New
257,PSA Singapore,maritime,"Singapore, Singapore",84,New
258,RSP,architecture & planning,"Singapore, Singapore",68,New
259,Offshore Engineering Resources (OER) Pte Ltd,human resources,"Singapore, Singapore",89,New
260,"Coca-Cola Beverages Singapore, Malaysia & Brunei",mechanical or industrial engineering,"Kuala Lumpur, Malaysia",75,New
261,Wilhelmsen Ship Management,logistics & supply chain,"Singapore, Singapore",61,New
262,Malaysian Palm Oil Council (MPOC),nonprofit organization management,"Petaling Jaya, Malaysia",62,New
263,Maukerja Malaysia,human resources,"Kuala Lumpur, Malaysia",78,New
264,Wah Loon Engineering Pte Ltd,construction,"Singapore, Singapore",85,New
265,Malaysian Investment Development Authority,investment management,"Kuala Lumpur, Malaysia",84,New
266,Enterprise Singapore,government administration,"Singapore, Singapore",79,New
267,"e2i, Employment & Employability Institute",nonprofit organization management,"Singapore, Singapore",72,New
268,PCI,electrical/electronic manufacturing,"Singapore, Singapore",75,New
269,Interplex,electrical/electronic manufacturing,"Singapore, Singapore",94,New
270,Human Resources Online,online media,"Singapore, Singapore",63,New
271,INSTEP - Institut Teknologi Petroleum PETRONAS,oil & energy,"Kuala Terengganu, Malaysia",78,New
272,CADIT Consultants Asia Pte Ltd,information technology & services,"Singapore, Singapore",91,New
273,HOPE Technik,information technology & services,"Singapore, Singapore",91,New
274,Ninja Van,transportation/trucking/railroad,"Singapore, Singapore",86,New
275,PaxOcean,shipbuilding,"Singapore, Singapore",98,New
276,CIMB,financial services,"Kuala Lumpur, Malaysia",63,New
277,Shapadu Corporation,oil & energy,"Shah Alam, Malaysia",84,New
278,Renoir Consulting,management consulting,"Singapore, Singapore",83,New
279,Offshore Construction Specialists Pte Ltd,oil & energy,"Singapore, Singapore",71,New
280,Synapxe,information technology & services,"Singapore, Singapore",85,New
281,SP Manufacturing Pte Ltd.,electrical/electronic manufacturing,"Singapore, Singapore",65,New
282,UBF Maintenance Sdn Bhd,oil & energy,"Kijal, Malaysia",86,New
283,Zahrawi Group,medical devices,"Kuala Lumpur, Malaysia",76,New
284,Maxeon Solar Technologies,semiconductors,"Singapore, Singapore",60,New
285,Swire Pacific Offshore,maritime,"Singapore, Singapore",89,New
286,CloudSEK,computer & network security,"Singapore, Singapore",86,New
287,ELSA ENERGY,oil & energy,"Kuala Lumpur, Malaysia",93,New
288,Caldic APAC,chemicals,"Singapore, Singapore",92,New
289,SPEMOCEAN,oil & energy,"Singapore, Singapore",61,New
290,Klook,information technology & services,"Singapore, Singapore",67,New
291,Zilingo,information technology & services,"Singapore, Singapore",67,New
292,Olympus APAC,medical devices,"Singapore, Singapore",78,New
293,SGInnovate,venture capital & private equity,"Singapore, Singapore",69,New
294,PSA International,logistics & supply chain,"Singapore, Singapore",74,New
295,Kemuncak Lanai Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",98,New
296,GoComet,logistics & supply chain,"Singapore, Singapore",61,New
297,CapitaLand,real estate,"Singapore, Singapore",88,New
298,Workforce Singapore,government administration,"Singapore, Singapore",91,New
299,Balanced Engineering & Construction,information technology & services,"Singapore, Singapore",78,New
300,Averis,outsourcing/offshoring,"Kuala Lumpur, Malaysia",68,New
301,National University Health System,hospital & health care,"Singapore, Singapore",80,New
302,Universiti Malaysia Pahang Al-Sultan Abdullah,higher education,"Pekan, Malaysia",96,New
303,PRASARANA MALAYSIA BERHAD,logistics & supply chain,"Petaling Jaya, Malaysia",84,New
304,Exasoft,information technology & services,"Singapore, Singapore",85,New
305,NIOSH Certification Sdn Bhd,international trade & development,"Bandar Baru Bangi, Malaysia",67,New
306,Esco,research,"Singapore, Singapore",71,New
307,PetroSync Global Pte Ltd,oil & energy,"Singapore, Singapore",61,New
308,Pengerang Terminals (Two) Sdn Bhd,logistics & supply chain,"Pengerang, Malaysia",67,New
309,MOH Holdings (Singapore),hospital & health care,"Singapore, Singapore",94,New
310,Sime Darby Property,real estate,"Petaling Jaya, Malaysia",92,New
311,Indorama Corporation,chemicals,"Singapore, Singapore",90,New
312,SP Group,utilities,"Singapore, Singapore",76,New
313,Tabung Haji,financial services,"Kuala Lumpur, Malaysia",87,New
314,Kim Heng Ltd,oil & energy,"Singapore, Singapore",82,New
315,Ministry of Manpower,government administration,"Singapore, Singapore",66,New
316,Scoot,airlines/aviation,"Singapore, Singapore",83,New
317,Apeiron Bioenergy,environmental services,"Singapore, Singapore",69,New
318,PwC Malaysia,professional training & coaching,"Kuala Lumpur, Malaysia",64,New
319,ELITE DIGITAL LOGISTICS,logistics & supply chain,"Singapore, Singapore",62,New
320,Britoil Offshore Services Pte Ltd,oil & energy,"Singapore, Singapore",66,New
321,EDOTCO Group,telecommunications,"Shah Alam, Malaysia",75,New
322,MYAirline,airlines/aviation,"Subang Jaya, Malaysia",94,New
323,M.T.M. Ship Management,maritime,"Singapore, Singapore",73,New
324,GTR,airlines/aviation,"Sepang, Malaysia",60,New
325,Singapore Manufacturing Federation,nonprofit organization management,"Singapore, Singapore",89,New
326,Resorts World Sentosa,hospitality,"Singapore, Singapore",85,New
327,Aalst Chocolate,food production,"Singapore, Singapore",96,New
328,TWI South East Asia,professional training & coaching,"Shah Alam, Malaysia",76,New
329,Raya Airways,airlines/aviation,"Cyberjaya, Malaysia",62,New
330,Straits Construction Singapore Pte Ltd,construction,"Singapore, Singapore",63,New
331,ViTrox Corporation Berhad,electrical/electronic manufacturing,"Simpang Ampat, Malaysia",94,New
332,Mitsubishi Power Asia Pacific,oil & energy,"Singapore, Singapore",92,New
333,IRD Global,hospital & health care,"Singapore, Singapore",82,New
334,Eastern Pacific Shipping Pte. Ltd.,maritime,"Singapore, Singapore",73,New
335,TO THE NEW,information technology & services,"Singapore, Singapore",76,New
336,FairPrice Group,retail,"Singapore, Singapore",96,New
337,Tolaram,mechanical or industrial engineering,"Singapore, Singapore",69,New
338,Transmedic Group,medical devices,"Singapore, Singapore",96,New
339,Certis,security & investigations,"Singapore, Singapore",62,New
340,SIR Ventures Sdn Bhd,airlines/aviation,"Petaling Jaya, Malaysia",96,New
341,Mah Sing Group Berhad,real estate,"Kuala Lumpur, Malaysia",62,New
342,The Ascott Limited,hospitality,"Singapore, Singapore",86,New
343,Space Matrix,design,"Singapore, Singapore",83,New
344,RedDoorz,hospitality,"Singapore, Singapore",82,New
345,Boustead Heavy Industries Corporation Berhad,maritime,"Kuala Lumpur, Malaysia",74,New
